,Word,Vowel,F1,F2,F3
0,back,,813.7916704156132,1544.142530621315,2933.7156620378396
1,bad,,553.0754788028202,2127.457526127134,2939.263835835587
2,bat,,419.14596844212343,2594.5931103816997,3221.4514759733142
3,bear,,377.95567934353096,2557.897034363898,3220.2640120009705
4,bed,,338.19594321456697,2159.398786550076,2938.4389311626405
5,beer,,335.56050870200215,2694.4986582563247,3165.2297624097364
6,beg,,419.86082723718107,2566.434578250733,3151.006591725492
7,bet,,620.6530542934511,2185.747855449941,3012.254888047471
8,bid,,591.0546129991798,1905.431227999819,3023.0009209543955
9,buck,,809.2098398778681,1513.6751923387799,2974.585173024152
10,bud,,773.0430295737856,1466.3642530830675,2986.5674142196294
11,but,,781.9680221635576,1518.9379364201789,3110.223709004172
12,dance,,652.858712496447,1738.944904471147,3128.019168784524
13,dare,,380.5684730240865,2613.0273613474515,3181.021770861824
14,dear,,375.014508523496,2651.033880569257,3194.8424564731754
15,hint,,433.73213656570306,1919.3973432812156,3345.093348593158
16,hit,,682.1259621354386,1932.8861383154708,3095.3108228221477
17,laugh,,1468.9424087730874,2344.6748689006636,3356.199526317576
18,path,,1631.0263264046328,2147.299689175324,2962.255572485582
19,spare,,388.62054509720605,1973.3330510075841,2527.9661081951435
20,spear,,359.7332403314751,2611.817709293425,3071.647426029314
